Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,     Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.427000,0.051000,4.113000,2,0,21427,51,4113,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.445999,0.044000,4.078000,4,0,21446,44,4078,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.455999,0.035000,4.041000,5,0,21456,35,4041,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.452000,0.028000,4.002000,4,0,21452,28,4001,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.466999,0.021000,3.966000,5,0,21467,21,3966,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.445000,0.013000,3.922000,5,0,21445,13,3922,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.441999,0.006000,3.881000,7,0,21442,6,3881,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.440001,0.000000,3.841000,11,0,21440,0,3841,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.549000,-0.007000,3.821000,21,0,21549,-7,3821,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.615999,-0.014000,3.793000,32,0,21616,-14,3793,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.657000,-0.021000,3.760000,19,0,21657,-21,3760,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.645000,-0.028000,3.717000,9,0,21645,-28,3717,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.735001,-0.034000,3.692000,5,0,21735,-34,3692,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.400000,-0.042000,3.762000,5,0,22400,-42,3762,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.488001,-0.049000,3.734000,12,0,22488,-49,3734,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.473000,-0.056000,3.689000,18,0,22473,-56,3689,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.329000,-0.062000,3.622000,16,0,22329,-62,3622,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.200001,-0.068000,3.559000,8,0,22200,-68,3559,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.957001,-0.073000,3.477000,6,0,21957,-73,3477,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.879999,-0.079000,3.423000,5,0,21880,-79,3423,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.054001,-0.086000,3.408000,8,0,22054,-86,3408,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.090000,-0.092000,3.371000,8,0,22090,-92,3371,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.440001,-0.099000,3.381000,3,0,22440,-99,3381,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,23.573999,-0.116000,3.460000,6,0,23574,-116,3460,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.712000,-0.112000,3.144000,2,0,21712,-112,3144,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.747000,-0.117000,3.107000,5,0,21747,-117,3107,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.917999,-0.123000,3.088000,9,0,21918,-123,3088,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.141001,-0.129000,3.076000,9,0,22141,-129,3076,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.186001,-0.134000,3.039000,9,0,22186,-134,3039,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.058001,-0.138000,2.977000,12,0,22058,-138,2977,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.052000,-0.143000,2.932000,8,0,22052,-143,2932,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.193001,-0.148000,2.907000,5,0,22193,-148,2907,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.351000,-0.153000,2.883000,8,0,22351,-153,2883,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.160000,-0.156000,2.813000,10,0,22160,-156,2813,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.632000,-0.156000,2.702000,9,0,21632,-156,2702,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.575001,-0.160000,2.652000,20,0,21575,-160,2652,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.568001,-0.163000,2.608000,9,0,21568,-163,2608,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.945000,-0.170000,2.609000,9,0,21945,-170,2609,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.466999,-0.170000,2.510000,9,0,21467,-170,2510,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.448000,-0.173000,2.464000,9,0,21448,-173,2464,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.482000,-0.176000,2.423000,9,0,21482,-176,2423,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.417999,-0.179000,2.373000,9,0,21418,-179,2373,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.419001,-0.182000,2.329000,9,0,21419,-182,2329,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.462999,-0.185000,2.291000,36,0,21463,-185,2291,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.650999,-0.189000,2.266000,10,0,21651,-189,2266,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,23.752001,-0.213000,2.388000,23,0,23752,-213,2388,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.009001,-0.199000,2.167000,7,0,22009,-199,2167,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.136000,-0.202000,2.134000,7,0,22136,-202,2134,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.025999,-0.203000,2.078000,4,0,22026,-203,2078,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.200001,-0.207000,2.049000,4,0,22200,-207,2049,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.183001,-0.208000,2.002000,4,0,22183,-208,2002,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.157000,-0.210000,1.953000,5,0,22157,-210,1953,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.395000,-0.204000,1.841000,9,0,21395,-204,1841,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.075001,-0.212000,1.854000,12,0,22075,-212,1854,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.084999,-0.213000,1.809000,50,0,22085,-213,1809,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,22.039000,-0.214000,1.758000,58,0,22039,-214,1758,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.294001,-0.208000,1.609000,17,0,21294,-208,1609,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.290001,-0.208000,1.565000,9,0,21290,-208,1565,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.200001,-0.208000,1.514000,8,0,21200,-208,1514,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.559999,-0.212000,1.493000,9,0,21560,-212,1493,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.181999,-0.208000,1.422000,8,0,21182,-208,1422,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.157000,-0.208000,1.376000,8,0,21157,-208,1376,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.993000,-0.206000,1.321000,100,0,20993,-206,1321,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,20.825001,-0.204000,1.267000,8,0,20825,-204,1267,0,0,0
5,1,1,0,0x00000000,0,0,443884049790,21.047001,-0.206000,1.236000,18,0,21047,-206,1236,0,0,0
